voltage ,v_err,current ,I_err,radius ,r_err
170,1,1.006,0.001,10.7,0.2
170,1,1.047,0.001,10.4,0.2
170,1,1.110,0.001,9.8,0.2
170,1,1.161,0.001,9.4,0.2
170,1,1.199,0.001,9.2,0.2
170,1,1.259,0.001,8.9,0.2
170,1,1.323,0.001,8.4,0.2
170,1,1.397,0.001,7.9,0.2
170,1,1.426,0.001,7.7,0.2
170,1,1.540,0.001,7.2,0.2
170,1,1.604,0.001,6.9,0.2
170,1,1.713,0.001,6.5,0.2
