dt (s),Time (s),Temperature (C),Note
45,0,34,Initial
45,45,23,Cold
45,90,25,Hot
45,135,38,Cold
45,180,48,Hot
45,225,48,Cold
45,270,47,Hot
45,315,53,Cold
45,360,52,Hot
45,405,55,Cold
45,450,53,Hot
45,495,56,
45,540,53,
45,585,56,
45,630,53,
45,675,56,
45,720,53,
45,765,56,
45,810,53,
