dt (s),Time (s),Temperature (C),Note
60,0,60,Initial
60,60,50,Cold
60,120,48,Hot
60,180,52,Cold
60,240,51,Hot
60,300,48,Cold
60,360,52,Hot
60,420,52,Cold
60,480,51,Hot
60,540,52,Cold
60,600,52,Hot
60,660,53,Cold
60,720,52,Hot
60,780,53,Cold
60,840,52,Hot
60,900,53,Cold
60,960,52,Hot
