dt (s),Time (s),Temperature (C),Note
30,0,44,Initial
30,30,42,Cold
30,60,39,Hot
30,90,44,Cold
30,120,42,Hot
30,150,47,Cold
30,180,45,Hot
30,210,48,Cold
30,240,46,Hot
30,270,50,Cold
30,300,48,Hot
