dt (s),Time (s),Temperature (C),Note
15,0,47,Initial
15,15,47,Cold
15,30,46,Hot
15,45,45,Cold
15,60,45,Hot
15,75,44,Cold
15,90,46,Hot
15,105,46,Cold
15,120,47,Hot
15,135,47,Cold
15,150,49,Hot
15,165,48,Cold
15,180,49,Hot
15,195,48,Cold
15,210,49,Hot
15,225,49,Cold
15,240,50,Hot
15,255,50,Cold
15,270,50,Hot
15,285,50,Cold
15,300,50,Hot
15,315,49,Cold
15,330,50,Hot
15,345,50,Cold
15,360,51,Hot
15,375,50,Cold
15,390,51,Hot
